Time,CORE_BOTTOM:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_BOTTOM:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_MID:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_MID:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],CORE_TOP:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_TOP:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:TAMPA-MACDILL.AFB_FL_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,0.000000E+00,1.419419E+04,0.000000E+00,1.006976E+00,0.000000E+00,1.002944E+04,0.000000E+00,7.115193E-01,0.000000E+00,1.020809E+04,0.000000E+00,7.241925E-01,1.598451E+02,2.078715E+03,9.498598E-03,1.474807E-01,1.690356E+02,1.347065E+03,1.004267E-02,9.557186E-02,9.086952E+01,2.143428E+03,5.400440E-03,1.520721E-01,1.106592E+02,1.539812E+03,6.575390E-03,1.092472E-01,0.000000E+00,1.762375E+03,0.000000E+00,1.250325E-01,0.000000E+00,1.297949E+03,0.000000E+00,9.208376E-02,0.000000E+00,1.926341E+03,0.000000E+00,1.366652E-01,0.000000E+00,1.527685E+03,0.000000E+00,1.083827E-01,0.000000E+00,2.066078E+03,0.000000E+00,1.465826E-01,0.000000E+00,1.341200E+03,0.000000E+00,9.515472E-02,0.000000E+00,2.132327E+03,0.000000E+00,1.512828E-01,0.000000E+00,1.540313E+03,0.000000E+00,1.092814E-01
00:20:00,0.000000E+00,1.432081E+04,0.000000E+00,1.015957E+00,0.000000E+00,1.017850E+04,0.000000E+00,7.220929E-01,0.000000E+00,1.033800E+04,0.000000E+00,7.334078E-01,2.504238E+02,2.098638E+03,1.487844E-02,1.488946E-01,2.429545E+02,1.359174E+03,1.443300E-02,9.643124E-02,1.602149E+02,2.162209E+03,9.519158E-03,1.534049E-01,1.718340E+02,1.546807E+03,1.020881E-02,1.097437E-01,0.000000E+00,1.779296E+03,0.000000E+00,1.262331E-01,0.000000E+00,1.308437E+03,0.000000E+00,9.282801E-02,0.000000E+00,1.942845E+03,0.000000E+00,1.378362E-01,0.000000E+00,1.534354E+03,0.000000E+00,1.088559E-01,0.000000E+00,2.090084E+03,0.000000E+00,1.482860E-01,0.000000E+00,1.355944E+03,0.000000E+00,9.620099E-02,0.000000E+00,2.155182E+03,0.000000E+00,1.529047E-01,0.000000E+00,1.549853E+03,0.000000E+00,1.099584E-01
00:30:00,0.000000E+00,1.443412E+04,0.000000E+00,1.023993E+00,0.000000E+00,1.031091E+04,0.000000E+00,7.314852E-01,0.000000E+00,1.045026E+04,0.000000E+00,7.413700E-01,3.570107E+02,2.112965E+03,2.120906E-02,1.499114E-01,3.270787E+02,1.367546E+03,1.942945E-02,9.702545E-02,2.475541E+02,2.175318E+03,1.470659E-02,1.543352E-01,2.435206E+02,1.550081E+03,1.446655E-02,1.099761E-01,0.000000E+00,1.792104E+03,0.000000E+00,1.271419E-01,0.000000E+00,1.315970E+03,0.000000E+00,9.336247E-02,0.000000E+00,1.955018E+03,0.000000E+00,1.387000E-01,0.000000E+00,1.538010E+03,0.000000E+00,1.091154E-01,0.000000E+00,2.108626E+03,0.000000E+00,1.496018E-01,0.000000E+00,1.367021E+03,0.000000E+00,9.698699E-02,0.000000E+00,2.172492E+03,0.000000E+00,1.541330E-01,0.000000E+00,1.555726E+03,0.000000E+00,1.103753E-01
00:40:00,0.000000E+00,1.453690E+04,0.000000E+00,1.031282E+00,0.000000E+00,1.043021E+04,0.000000E+00,7.399471E-01,0.000000E+00,1.054830E+04,0.000000E+00,7.483240E-01,4.781543E+02,2.122778E+03,2.840424E-02,1.506078E-01,4.010904E+02,1.372905E+03,2.382235E-02,9.740576E-02,3.498794E+02,2.183860E+03,2.078408E-02,1.549415E-01,3.247375E+02,1.550401E+03,1.929033E-02,1.099989E-01,0.000000E+00,1.801643E+03,0.000000E+00,1.278187E-01,0.000000E+00,1.321151E+03,0.000000E+00,9.373008E-02,0.000000E+00,1.963747E+03,0.000000E+00,1.393193E-01,0.000000E+00,1.539312E+03,0.000000E+00,1.092077E-01,0.000000E+00,2.122809E+03,0.000000E+00,1.506082E-01,0.000000E+00,1.375171E+03,0.000000E+00,9.756531E-02,0.000000E+00,2.185388E+03,0.000000E+00,1.550480E-01,0.000000E+00,1.558725E+03,0.000000E+00,1.105881E-01
00:50:00,0.000000E+00,1.463111E+04,0.000000E+00,1.037964E+00,0.000000E+00,1.053861E+04,0.000000E+00,7.476361E-01,0.000000E+00,1.063435E+04,0.000000E+00,7.544274E-01,5.785722E+02,2.128883E+03,3.436371E-02,1.510410E-01,4.643259E+02,1.375795E+03,2.757807E-02,9.761084E-02,4.658944E+02,2.188662E+03,2.767466E-02,1.552823E-01,3.891765E+02,1.548351E+03,2.311472E-02,1.098535E-01,0.000000E+00,1.808561E+03,0.000000E+00,1.283095E-01,0.000000E+00,1.324451E+03,0.000000E+00,9.396426E-02,0.000000E+00,1.969728E+03,0.000000E+00,1.397436E-01,0.000000E+00,1.538771E+03,0.000000E+00,1.091693E-01,0.000000E+00,2.133452E+03,0.000000E+00,1.513633E-01,0.000000E+00,1.380949E+03,0.000000E+00,9.797528E-02,0.000000E+00,2.194708E+03,0.000000E+00,1.557093E-01,0.000000E+00,1.559448E+03,0.000000E+00,1.106394E-01
01:00:00,0.000000E+00,1.471805E+04,0.000000E+00,1.044129E+00,0.000000E+00,1.063737E+04,0.000000E+00,7.546411E-01,0.000000E+00,1.070990E+04,0.000000E+00,7.597859E-01,6.700562E+02,2.131939E+03,3.979720E-02,1.512578E-01,5.257018E+02,1.376665E+03,3.122335E-02,9.767259E-02,5.550551E+02,2.190403E+03,3.296692E-02,1.554058E-01,4.502086E+02,1.544426E+03,2.673958E-02,1.095750E-01,0.000000E+00,1.813359E+03,0.000000E+00,1.286499E-01,0.000000E+00,1.326242E+03,0.000000E+00,9.409128E-02,0.000000E+00,1.973497E+03,0.000000E+00,1.400110E-01,0.000000E+00,1.536789E+03,0.000000E+00,1.090287E-01,0.000000E+00,2.141184E+03,0.000000E+00,1.519119E-01,0.000000E+00,1.384788E+03,0.000000E+00,9.824765E-02,0.000000E+00,2.201104E+03,0.000000E+00,1.561631E-01,0.000000E+00,1.558376E+03,0.000000E+00,1.105633E-01
01:10:00,0.000000E+00,1.481885E+04,0.000000E+00,1.051278E+00,0.000000E+00,1.074731E+04,0.000000E+00,7.624390E-01,0.000000E+00,1.079541E+04,0.000000E+00,7.658502E-01,7.577536E+02,2.136682E+03,4.500579E-02,1.515943E-01,5.800340E+02,1.378540E+03,3.445026E-02,9.780564E-02,6.438626E+02,2.193833E+03,3.824146E-02,1.556491E-01,5.072568E+02,1.541668E+03,3.012782E-02,1.093793E-01,0.000000E+00,1.820692E+03,0.000000E+00,1.291702E-01,0.000000E+00,1.329505E+03,0.000000E+00,9.432275E-02,0.000000E+00,1.979735E+03,0.000000E+00,1.404536E-01,0.000000E+00,1.536377E+03,0.000000E+00,1.089994E-01,0.000000E+00,2.150806E+03,0.000000E+00,1.525945E-01,0.000000E+00,1.389755E+03,0.000000E+00,9.860007E-02,0.000000E+00,2.209392E+03,0.000000E+00,1.567510E-01,0.000000E+00,1.558598E+03,0.000000E+00,1.105790E-01
01:20:00,0.000000E+00,1.491529E+04,0.000000E+00,1.058118E+00,0.000000E+00,1.085145E+04,0.000000E+00,7.698250E-01,0.000000E+00,1.087425E+04,0.000000E+00,7.714419E-01,8.359344E+02,2.139833E+03,4.964914E-02,1.518179E-01,6.297785E+02,1.379360E+03,3.740468E-02,9.786379E-02,7.255599E+02,2.195675E+03,4.309368E-02,1.557798E-01,5.582594E+02,1.538021E+03,3.315698E-02,1.091205E-01,0.000000E+00,1.827027E+03,0.000000E+00,1.296196E-01,0.000000E+00,1.332039E+03,0.000000E+00,9.450249E-02,0.000000E+00,1.984927E+03,0.000000E+00,1.408219E-01,0.000000E+00,1.535335E+03,0.000000E+00,1.089254E-01,0.000000E+00,2.158967E+03,0.000000E+00,1.531735E-01,0.000000E+00,1.393746E+03,0.000000E+00,9.888321E-02,0.000000E+00,2.216224E+03,0.000000E+00,1.572357E-01,0.000000E+00,1.558010E+03,0.000000E+00,1.105372E-01
01:30:00,0.000000E+00,1.500797E+04,0.000000E+00,1.064692E+00,0.000000E+00,1.095045E+04,0.000000E+00,7.768473E-01,0.000000E+00,1.094718E+04,0.000000E+00,7.766147E-01,9.080717E+02,2.141741E+03,5.393353E-02,1.519532E-01,6.756198E+02,1.379361E+03,4.012727E-02,9.786383E-02,7.994214E+02,2.196285E+03,4.748049E-02,1.558230E-01,6.051858E+02,1.533719E+03,3.594403E-02,1.088152E-01,0.000000E+00,1.832629E+03,0.000000E+00,1.300170E-01,0.000000E+00,1.334032E+03,0.000000E+00,9.464387E-02,0.000000E+00,1.989349E+03,0.000000E+00,1.411355E-01,0.000000E+00,1.533860E+03,0.000000E+00,1.088206E-01,0.000000E+00,2.166005E+03,0.000000E+00,1.536728E-01,0.000000E+00,1.396991E+03,0.000000E+00,9.911338E-02,0.000000E+00,2.221943E+03,0.000000E+00,1.576414E-01,0.000000E+00,1.556844E+03,0.000000E+00,1.104544E-01
01:40:00,0.000000E+00,1.509751E+04,0.000000E+00,1.071042E+00,0.000000E+00,1.104510E+04,0.000000E+00,7.835607E-01,0.000000E+00,1.101507E+04,0.000000E+00,7.814301E-01,9.750404E+02,2.142724E+03,5.791092E-02,1.520229E-01,7.181028E+02,1.378757E+03,4.265040E-02,9.782092E-02,8.678598E+02,2.195985E+03,5.154519E-02,1.558016E-01,6.486312E+02,1.528976E+03,3.852432E-02,1.084787E-01,0.000000E+00,1.837723E+03,0.000000E+00,1.303784E-01,0.000000E+00,1.335649E+03,0.000000E+00,9.475850E-02,0.000000E+00,1.993237E+03,0.000000E+00,1.414113E-01,0.000000E+00,1.532117E+03,0.000000E+00,1.086970E-01,0.000000E+00,2.172223E+03,0.000000E+00,1.541139E-01,0.000000E+00,1.399695E+03,0.000000E+00,9.930513E-02,0.000000E+00,2.226857E+03,0.000000E+00,1.579899E-01,0.000000E+00,1.555302E+03,0.000000E+00,1.103450E-01
01:50:00,0.000000E+00,1.518441E+04,0.000000E+00,1.077206E+00,0.000000E+00,1.113602E+04,0.000000E+00,7.900099E-01,0.000000E+00,1.107867E+04,0.000000E+00,7.859406E-01,1.037539E+03,2.143050E+03,6.162281E-02,1.520460E-01,7.576746E+02,1.377727E+03,4.500062E-02,9.774787E-02,9.316446E+02,2.195046E+03,5.533349E-02,1.557350E-01,6.890717E+02,1.523970E+03,4.092615E-02,1.081235E-01,0.000000E+00,1.842500E+03,0.000000E+00,1.307172E-01,0.000000E+00,1.337022E+03,0.000000E+00,9.485593E-02,0.000000E+00,1.996789E+03,0.000000E+00,1.416633E-01,0.000000E+00,1.530244E+03,0.000000E+00,1.085640E-01,0.000000E+00,2.177873E+03,0.000000E+00,1.545146E-01,0.000000E+00,1.402026E+03,0.000000E+00,9.947054E-02,0.000000E+00,2.231220E+03,0.000000E+00,1.582994E-01,0.000000E+00,1.553553E+03,0.000000E+00,1.102208E-01
02:00:00,0.000000E+00,1.526934E+04,0.000000E+00,1.083230E+00,0.000000E+00,1.122428E+04,0.000000E+00,7.962703E-01,0.000000E+00,1.113891E+04,0.000000E+00,7.902137E-01,1.096141E+03,2.142953E+03,6.510325E-02,1.520391E-01,7.946999E+02,1.376425E+03,4.719960E-02,9.765541E-02,9.913934E+02,2.193698E+03,5.888208E-02,1.556393E-01,7.268969E+02,1.518832E+03,4.317263E-02,1.077589E-01,0.000000E+00,1.847135E+03,0.000000E+00,1.310460E-01,0.000000E+00,1.338274E+03,0.000000E+00,9.494469E-02,0.000000E+00,2.000185E+03,0.000000E+00,1.419041E-01,0.000000E+00,1.528351E+03,0.000000E+00,1.084297E-01,0.000000E+00,2.183200E+03,0.000000E+00,1.548925E-01,0.000000E+00,1.404147E+03,0.000000E+00,9.962098E-02,0.000000E+00,2.235276E+03,0.000000E+00,1.585871E-01,0.000000E+00,1.551736E+03,0.000000E+00,1.100919E-01
